Post Index: 2 | Diff: 0.82 | Level: HIGH
Post Index: 340 | Diff: 0.87 | Level: HIGH
Post Index: 341 | Diff: 0.92 | Level: HIGH
Post Index: 347 | Diff: 0.81 | Level: HIGH
Post Index: 349 | Diff: 0.81 | Level: HIGH
Post Index: 353 | Diff: 0.84 | Level: HIGH
Post Index: 354 | Diff: 0.94 | Level: HIGH
Post Index: 358 | Diff: 0.36 | Level: LOW
Post Index: 359 | Diff: 0.94 | Level: HIGH
Post Index: 362 | Diff: 0.56 | Level: MED
Post Index: 368 | Diff: 0.99 | Level: HIGH
Post Index: 373 | Diff: 0.95 | Level: HIGH
Post Index: 374 | Diff: 0.99 | Level: HIGH
Post Index: 375 | Diff: 0.34 | Level: LOW
Post Index: 376 | Diff: 0.92 | Level: HIGH
Post Index: 377 | Diff: 0.62 | Level: MED
Post Index: 379 | Diff: 0.83 | Level: HIGH
Post Index: 382 | Diff: 0.88 | Level: HIGH
Post Index: 384 | Diff: 0.92 | Level: HIGH
Post Index: 391 | Diff: 0.89 | Level: HIGH
Post Index: 393 | Diff: 0.75 | Level: HIGH
Post Index: 394 | Diff: 0.92 | Level: HIGH
Post Index: 395 | Diff: 0.62 | Level: MED
Post Index: 396 | Diff: 0.55 | Level: MED
Post Index: 397 | Diff: 0.92 | Level: HIGH
Post Index: 403 | Diff: 0.54 | Level: MED
Post Index: 408 | Diff: 0.91 | Level: HIGH
Post Index: 411 | Diff: 0.94 | Level: HIGH
Post Index: 413 | Diff: 0.42 | Level: LOW
Post Index: 414 | Diff: 0.99 | Level: HIGH
Post Index: 417 | Diff: 0.93 | Level: HIGH
Post Index: 419 | Diff: 0.96 | Level: HIGH
Post Index: 421 | Diff: 0.98 | Level: HIGH
Post Index: 422 | Diff: 0.98 | Level: HIGH
Post Index: 425 | Diff: 0.45 | Level: LOW
Post Index: 428 | Diff: 0.85 | Level: HIGH
Post Index: 431 | Diff: 0.91 | Level: HIGH
Post Index: 435 | Diff: 0.66 | Level: MED
Post Index: 438 | Diff: 0.95 | Level: HIGH
Post Index: 441 | Diff: 0.99 | Level: HIGH
Post Index: 443 | Diff: 0.94 | Level: HIGH
Post Index: 447 | Diff: 0.88 | Level: HIGH
Post Index: 451 | Diff: 0.98 | Level: HIGH
Post Index: 454 | Diff: 0.95 | Level: HIGH
Post Index: 457 | Diff: 0.91 | Level: HIGH
Post Index: 459 | Diff: 0.57 | Level: MED
Post Index: 460 | Diff: 0.86 | Level: HIGH
Post Index: 462 | Diff: 0.93 | Level: HIGH
Post Index: 463 | Diff: 0.36 | Level: LOW
Post Index: 465 | Diff: 0.51 | Level: MED
Post Index: 474 | Diff: 0.96 | Level: HIGH
Post Index: 475 | Diff: 0.93 | Level: HIGH
Post Index: 476 | Diff: 0.81 | Level: HIGH
Post Index: 482 | Diff: 0.80 | Level: HIGH
Post Index: 483 | Diff: 0.95 | Level: HIGH
Post Index: 487 | Diff: 0.89 | Level: HIGH
Post Index: 488 | Diff: 0.85 | Level: HIGH
Post Index: 493 | Diff: 0.95 | Level: HIGH
Post Index: 495 | Diff: 0.88 | Level: HIGH
Post Index: 497 | Diff: 0.91 | Level: HIGH
Post Index: 502 | Diff: 0.93 | Level: HIGH
Post Index: 504 | Diff: 0.99 | Level: HIGH
Post Index: 508 | Diff: 0.87 | Level: HIGH
Post Index: 510 | Diff: 0.76 | Level: HIGH
Post Index: 511 | Diff: 0.89 | Level: HIGH
Post Index: 515 | Diff: 0.83 | Level: HIGH
Post Index: 518 | Diff: 0.88 | Level: HIGH
Post Index: 519 | Diff: 0.98 | Level: HIGH
Post Index: 520 | Diff: 0.91 | Level: HIGH
Post Index: 521 | Diff: 0.91 | Level: HIGH
Post Index: 522 | Diff: 0.37 | Level: LOW
Post Index: 525 | Diff: 0.99 | Level: HIGH
Post Index: 527 | Diff: 0.78 | Level: HIGH
Post Index: 529 | Diff: 0.67 | Level: MED
Post Index: 530 | Diff: 1.87 | Level: HIGH
Post Index: 532 | Diff: 0.87 | Level: HIGH
Post Index: 537 | Diff: 0.99 | Level: HIGH
Post Index: 538 | Diff: 0.95 | Level: HIGH
Post Index: 539 | Diff: 0.36 | Level: LOW
Post Index: 542 | Diff: 0.78 | Level: HIGH
Post Index: 544 | Diff: 1.86 | Level: HIGH
Post Index: 548 | Diff: 1.61 | Level: HIGH
Post Index: 550 | Diff: 0.57 | Level: MED
Post Index: 551 | Diff: 0.86 | Level: HIGH
Post Index: 555 | Diff: 0.75 | Level: HIGH
Post Index: 557 | Diff: 0.53 | Level: MED
Post Index: 558 | Diff: 0.74 | Level: HIGH
Post Index: 559 | Diff: 0.86 | Level: HIGH
Post Index: 570 | Diff: 0.63 | Level: MED
Post Index: 574 | Diff: 0.72 | Level: HIGH
Post Index: 578 | Diff: 0.97 | Level: HIGH
Post Index: 581 | Diff: 0.91 | Level: HIGH
Post Index: 583 | Diff: 1.72 | Level: HIGH
Post Index: 584 | Diff: 0.70 | Level: MED
Post Index: 585 | Diff: 0.91 | Level: HIGH
Post Index: 587 | Diff: 0.95 | Level: HIGH
Post Index: 596 | Diff: 0.95 | Level: HIGH
Post Index: 601 | Diff: 0.52 | Level: MED
Post Index: 604 | Diff: 0.80 | Level: HIGH
Post Index: 606 | Diff: 0.88 | Level: HIGH
Post Index: 616 | Diff: 0.33 | Level: LOW
Post Index: 621 | Diff: 0.74 | Level: HIGH
Post Index: 622 | Diff: 0.50 | Level: MED
Post Index: 626 | Diff: 0.74 | Level: HIGH
Post Index: 628 | Diff: 0.88 | Level: HIGH
Post Index: 629 | Diff: 0.92 | Level: HIGH
Post Index: 637 | Diff: 0.95 | Level: HIGH
Post Index: 643 | Diff: 0.79 | Level: HIGH
Post Index: 645 | Diff: 0.86 | Level: HIGH
Post Index: 655 | Diff: 0.97 | Level: HIGH
Post Index: 656 | Diff: 0.98 | Level: HIGH
Post Index: 665 | Diff: 0.62 | Level: MED
Post Index: 667 | Diff: 0.96 | Level: HIGH
Post Index: 669 | Diff: 0.36 | Level: LOW
Post Index: 670 | Diff: 0.86 | Level: HIGH
Post Index: 671 | Diff: 0.52 | Level: MED
Post Index: 673 | Diff: 0.79 | Level: HIGH
Post Index: 674 | Diff: 0.79 | Level: HIGH
Post Index: 675 | Diff: 0.80 | Level: HIGH
Post Index: 683 | Diff: 0.99 | Level: HIGH
Post Index: 685 | Diff: 0.99 | Level: HIGH
Post Index: 687 | Diff: 0.84 | Level: HIGH
Post Index: 691 | Diff: 0.68 | Level: MED
Post Index: 692 | Diff: 0.66 | Level: MED
Post Index: 694 | Diff: 0.31 | Level: LOW
Post Index: 695 | Diff: 0.41 | Level: LOW
Post Index: 696 | Diff: 0.90 | Level: HIGH
Post Index: 704 | Diff: 0.75 | Level: HIGH
Post Index: 705 | Diff: 0.92 | Level: HIGH
Post Index: 706 | Diff: 0.93 | Level: HIGH
Post Index: 707 | Diff: 0.99 | Level: HIGH
Post Index: 708 | Diff: 0.50 | Level: MED
Post Index: 709 | Diff: 0.61 | Level: MED
Post Index: 714 | Diff: 0.85 | Level: HIGH
Post Index: 715 | Diff: 0.95 | Level: HIGH
Post Index: 717 | Diff: 0.89 | Level: HIGH
Post Index: 720 | Diff: 0.88 | Level: HIGH
Post Index: 722 | Diff: 0.43 | Level: LOW
Post Index: 724 | Diff: 0.74 | Level: HIGH
Post Index: 727 | Diff: 0.50 | Level: LOW
Post Index: 729 | Diff: 0.74 | Level: HIGH
Post Index: 733 | Diff: 0.86 | Level: HIGH
Post Index: 734 | Diff: 0.90 | Level: HIGH
Post Index: 736 | Diff: 0.67 | Level: MED
Post Index: 737 | Diff: 0.91 | Level: HIGH
Post Index: 741 | Diff: 0.92 | Level: HIGH
Post Index: 743 | Diff: 0.93 | Level: HIGH
Post Index: 744 | Diff: 0.81 | Level: HIGH
Post Index: 748 | Diff: 0.94 | Level: HIGH
Post Index: 751 | Diff: 0.88 | Level: HIGH
Post Index: 753 | Diff: 0.54 | Level: MED
Post Index: 754 | Diff: 0.82 | Level: HIGH
Post Index: 758 | Diff: 0.83 | Level: HIGH
Post Index: 761 | Diff: 0.53 | Level: MED
Post Index: 763 | Diff: 0.84 | Level: HIGH
Post Index: 764 | Diff: 0.96 | Level: HIGH
Post Index: 765 | Diff: 0.53 | Level: MED
Post Index: 768 | Diff: 0.94 | Level: HIGH
Post Index: 769 | Diff: 0.79 | Level: HIGH
Post Index: 770 | Diff: 0.57 | Level: MED
Post Index: 771 | Diff: 0.89 | Level: HIGH
Post Index: 781 | Diff: 0.83 | Level: HIGH
Post Index: 782 | Diff: 0.64 | Level: MED
Post Index: 783 | Diff: 0.88 | Level: HIGH
Post Index: 785 | Diff: 0.32 | Level: LOW
Post Index: 789 | Diff: 0.31 | Level: LOW
Post Index: 794 | Diff: 0.64 | Level: MED
Post Index: 799 | Diff: 0.81 | Level: HIGH
Post Index: 802 | Diff: 0.70 | Level: MED
Post Index: 805 | Diff: 0.95 | Level: HIGH
Post Index: 806 | Diff: 0.88 | Level: HIGH
Post Index: 808 | Diff: 1.75 | Level: HIGH
Post Index: 810 | Diff: 1.66 | Level: HIGH
Post Index: 818 | Diff: 0.78 | Level: HIGH
Post Index: 820 | Diff: 0.72 | Level: HIGH
Post Index: 821 | Diff: 0.71 | Level: HIGH
Post Index: 822 | Diff: 0.79 | Level: HIGH
Post Index: 826 | Diff: 0.90 | Level: HIGH
Post Index: 828 | Diff: 0.98 | Level: HIGH
Post Index: 830 | Diff: 0.86 | Level: HIGH
Post Index: 832 | Diff: 0.65 | Level: MED
Post Index: 841 | Diff: 0.92 | Level: HIGH
Post Index: 842 | Diff: 0.85 | Level: HIGH
Post Index: 843 | Diff: 0.86 | Level: HIGH
Post Index: 845 | Diff: 0.96 | Level: HIGH
Post Index: 846 | Diff: 0.99 | Level: HIGH
Post Index: 847 | Diff: 0.96 | Level: HIGH
Post Index: 850 | Diff: 0.74 | Level: HIGH
Post Index: 852 | Diff: 0.59 | Level: MED
Post Index: 857 | Diff: 1.79 | Level: HIGH
Post Index: 858 | Diff: 0.52 | Level: MED
Post Index: 860 | Diff: 0.60 | Level: MED
Post Index: 862 | Diff: 0.92 | Level: HIGH
Post Index: 865 | Diff: 0.90 | Level: HIGH
Post Index: 867 | Diff: 0.78 | Level: HIGH
Post Index: 873 | Diff: 0.88 | Level: HIGH
Post Index: 874 | Diff: 0.96 | Level: HIGH
Post Index: 875 | Diff: 0.91 | Level: HIGH
Post Index: 876 | Diff: 1.90 | Level: HIGH
Post Index: 878 | Diff: 0.99 | Level: HIGH
Post Index: 879 | Diff: 0.98 | Level: HIGH
Post Index: 880 | Diff: 0.33 | Level: LOW
Post Index: 885 | Diff: 0.69 | Level: MED
Post Index: 886 | Diff: 1.62 | Level: HIGH
Post Index: 892 | Diff: 0.95 | Level: HIGH
Post Index: 893 | Diff: 0.52 | Level: MED
Post Index: 897 | Diff: 0.94 | Level: HIGH
Post Index: 900 | Diff: 0.94 | Level: HIGH
Post Index: 906 | Diff: 0.89 | Level: HIGH
Post Index: 908 | Diff: 0.91 | Level: HIGH
Post Index: 909 | Diff: 0.73 | Level: HIGH
Post Index: 913 | Diff: 0.90 | Level: HIGH
Post Index: 914 | Diff: 0.73 | Level: HIGH
Post Index: 917 | Diff: 0.82 | Level: HIGH
Post Index: 921 | Diff: 0.94 | Level: HIGH
Post Index: 922 | Diff: 0.68 | Level: MED
Post Index: 930 | Diff: 0.80 | Level: HIGH
Post Index: 934 | Diff: 0.89 | Level: HIGH
Post Index: 935 | Diff: 0.78 | Level: HIGH
Post Index: 936 | Diff: 0.85 | Level: HIGH
Post Index: 942 | Diff: 0.88 | Level: HIGH
Post Index: 947 | Diff: 0.94 | Level: HIGH
Post Index: 955 | Diff: 0.87 | Level: HIGH
Post Index: 963 | Diff: 0.33 | Level: LOW
Post Index: 969 | Diff: 0.65 | Level: MED
Post Index: 978 | Diff: 0.94 | Level: HIGH
Post Index: 987 | Diff: 0.79 | Level: HIGH
Post Index: 989 | Diff: 0.38 | Level: LOW
Post Index: 992 | Diff: 0.88 | Level: HIGH
Post Index: 993 | Diff: 0.89 | Level: HIGH
Post Index: 996 | Diff: 0.79 | Level: HIGH
Post Index: 998 | Diff: 0.51 | Level: MED
Post Index: 1005 | Diff: 0.99 | Level: HIGH
Post Index: 1007 | Diff: 0.96 | Level: HIGH
Post Index: 1008 | Diff: 0.93 | Level: HIGH
Post Index: 1013 | Diff: 0.93 | Level: HIGH
Post Index: 1016 | Diff: 0.90 | Level: HIGH
Post Index: 1018 | Diff: 0.86 | Level: HIGH
Post Index: 1025 | Diff: 0.94 | Level: HIGH
Post Index: 1028 | Diff: 0.57 | Level: MED
Post Index: 1032 | Diff: 0.88 | Level: HIGH
Post Index: 1033 | Diff: 0.59 | Level: MED
Post Index: 1038 | Diff: 0.98 | Level: HIGH
Post Index: 1039 | Diff: 0.98 | Level: HIGH
Post Index: 1048 | Diff: 0.74 | Level: HIGH
Post Index: 1050 | Diff: 0.99 | Level: HIGH
Post Index: 1051 | Diff: 0.58 | Level: MED
Post Index: 1060 | Diff: 0.49 | Level: LOW
Post Index: 1064 | Diff: 0.90 | Level: HIGH
Post Index: 1065 | Diff: 0.63 | Level: MED
Post Index: 1068 | Diff: 0.80 | Level: HIGH
Post Index: 1071 | Diff: 0.98 | Level: HIGH
Post Index: 1072 | Diff: 0.86 | Level: HIGH
Post Index: 1073 | Diff: 0.60 | Level: MED
Post Index: 1078 | Diff: 0.70 | Level: HIGH
Post Index: 1080 | Diff: 0.88 | Level: HIGH
Post Index: 1084 | Diff: 0.60 | Level: MED
Post Index: 1091 | Diff: 0.95 | Level: HIGH
Post Index: 1096 | Diff: 0.51 | Level: MED
Post Index: 1097 | Diff: 0.52 | Level: MED
Post Index: 1099 | Diff: 0.57 | Level: MED
Post Index: 1102 | Diff: 0.77 | Level: HIGH
Post Index: 1103 | Diff: 0.54 | Level: MED
Post Index: 1105 | Diff: 1.81 | Level: HIGH
Post Index: 1107 | Diff: 0.72 | Level: HIGH
Post Index: 1109 | Diff: 0.47 | Level: LOW
Post Index: 1115 | Diff: 0.34 | Level: LOW
Post Index: 1119 | Diff: 0.58 | Level: MED
Post Index: 1126 | Diff: 0.74 | Level: HIGH
Post Index: 1131 | Diff: 0.98 | Level: HIGH
Post Index: 1132 | Diff: 0.88 | Level: HIGH
Post Index: 1136 | Diff: 0.91 | Level: HIGH
Post Index: 1139 | Diff: 0.93 | Level: HIGH
Post Index: 1140 | Diff: 0.78 | Level: HIGH
Post Index: 1143 | Diff: 0.73 | Level: HIGH
Post Index: 1145 | Diff: 0.90 | Level: HIGH
Post Index: 1147 | Diff: 0.96 | Level: HIGH
Post Index: 1155 | Diff: 0.36 | Level: LOW
Post Index: 1156 | Diff: 0.53 | Level: MED
Post Index: 1160 | Diff: 0.81 | Level: HIGH
Post Index: 1161 | Diff: 0.62 | Level: MED
Post Index: 1163 | Diff: 0.72 | Level: HIGH
Post Index: 1170 | Diff: 0.95 | Level: HIGH
Post Index: 1176 | Diff: 0.56 | Level: MED
Post Index: 1177 | Diff: 0.99 | Level: HIGH
Post Index: 1178 | Diff: 0.58 | Level: MED
Post Index: 1179 | Diff: 0.62 | Level: MED
Post Index: 1181 | Diff: 0.96 | Level: HIGH
Post Index: 1182 | Diff: 0.64 | Level: MED
Post Index: 1187 | Diff: 0.32 | Level: LOW
Post Index: 1189 | Diff: 0.89 | Level: HIGH
Post Index: 1190 | Diff: 0.99 | Level: HIGH
Post Index: 1191 | Diff: 0.53 | Level: MED
Post Index: 1193 | Diff: 0.98 | Level: HIGH
Post Index: 1195 | Diff: 0.63 | Level: MED
Post Index: 1196 | Diff: 0.76 | Level: HIGH
Post Index: 1200 | Diff: 0.55 | Level: MED
Post Index: 1211 | Diff: 0.50 | Level: LOW
Post Index: 1212 | Diff: 0.87 | Level: HIGH
Post Index: 1214 | Diff: 0.88 | Level: HIGH
Post Index: 1218 | Diff: 0.77 | Level: HIGH
Post Index: 1219 | Diff: 0.87 | Level: HIGH
Post Index: 1226 | Diff: 0.85 | Level: HIGH
Post Index: 1228 | Diff: 0.93 | Level: HIGH
Post Index: 1229 | Diff: 0.99 | Level: HIGH
Post Index: 1236 | Diff: 0.88 | Level: HIGH
Post Index: 1239 | Diff: 0.92 | Level: HIGH
Post Index: 1243 | Diff: 0.85 | Level: HIGH
Post Index: 1249 | Diff: 0.66 | Level: MED
Post Index: 1251 | Diff: 0.77 | Level: HIGH
Post Index: 1253 | Diff: 0.53 | Level: MED
Post Index: 1254 | Diff: 0.91 | Level: HIGH
Post Index: 1256 | Diff: 0.53 | Level: MED
Post Index: 1258 | Diff: 0.90 | Level: HIGH
Post Index: 1263 | Diff: 0.76 | Level: HIGH
Post Index: 1264 | Diff: 0.76 | Level: HIGH
Post Index: 1266 | Diff: 0.74 | Level: HIGH
Post Index: 1269 | Diff: 0.99 | Level: HIGH
Post Index: 1273 | Diff: 0.93 | Level: HIGH
Post Index: 1274 | Diff: 0.88 | Level: HIGH
Post Index: 1282 | Diff: 0.65 | Level: MED
Post Index: 1285 | Diff: 0.33 | Level: LOW
Post Index: 1290 | Diff: 0.98 | Level: HIGH
Post Index: 1291 | Diff: 0.86 | Level: HIGH
Post Index: 1296 | Diff: 0.53 | Level: MED
Post Index: 1303 | Diff: 0.51 | Level: MED
Post Index: 1305 | Diff: 0.58 | Level: MED
Post Index: 1315 | Diff: 0.52 | Level: MED
Post Index: 1318 | Diff: 1.66 | Level: HIGH
Post Index: 1320 | Diff: 0.80 | Level: HIGH
Post Index: 1323 | Diff: 0.57 | Level: MED
Post Index: 1326 | Diff: 0.59 | Level: MED
Post Index: 1327 | Diff: 0.83 | Level: HIGH
Post Index: 1337 | Diff: 0.45 | Level: LOW
Post Index: 1341 | Diff: 0.83 | Level: HIGH
Post Index: 1343 | Diff: 0.69 | Level: MED
Post Index: 1346 | Diff: 0.96 | Level: HIGH
Post Index: 1347 | Diff: 0.91 | Level: HIGH
Post Index: 1348 | Diff: 0.66 | Level: MED
Post Index: 1364 | Diff: 0.32 | Level: LOW
Post Index: 1365 | Diff: 0.51 | Level: MED
Post Index: 1371 | Diff: 0.88 | Level: HIGH
Post Index: 1373 | Diff: 0.89 | Level: HIGH
Post Index: 1377 | Diff: 0.86 | Level: HIGH
Post Index: 1380 | Diff: 0.95 | Level: HIGH
Post Index: 1381 | Diff: 0.77 | Level: HIGH
Post Index: 1382 | Diff: 0.96 | Level: HIGH
Post Index: 1393 | Diff: 0.94 | Level: HIGH
Post Index: 1395 | Diff: 0.97 | Level: HIGH
Post Index: 1396 | Diff: 0.63 | Level: MED
Post Index: 1400 | Diff: 0.95 | Level: HIGH
Post Index: 1401 | Diff: 0.96 | Level: HIGH
Post Index: 1403 | Diff: 1.90 | Level: HIGH
Post Index: 1408 | Diff: 0.66 | Level: MED
Post Index: 1409 | Diff: 0.77 | Level: HIGH
Post Index: 1411 | Diff: 1.68 | Level: HIGH
Post Index: 1415 | Diff: 0.76 | Level: HIGH
Post Index: 1423 | Diff: 0.85 | Level: HIGH
Post Index: 1427 | Diff: 0.96 | Level: HIGH
Post Index: 1431 | Diff: 0.32 | Level: LOW
Post Index: 1432 | Diff: 0.33 | Level: LOW
Post Index: 1433 | Diff: 0.69 | Level: MED
Post Index: 1434 | Diff: 0.70 | Level: HIGH
Post Index: 1436 | Diff: 0.95 | Level: HIGH
Post Index: 1439 | Diff: 0.69 | Level: MED
Post Index: 1441 | Diff: 0.97 | Level: HIGH
Post Index: 1443 | Diff: 0.88 | Level: HIGH
Post Index: 1447 | Diff: 0.32 | Level: LOW
Post Index: 1453 | Diff: 0.84 | Level: HIGH
Post Index: 1461 | Diff: 0.80 | Level: HIGH
Post Index: 1464 | Diff: 0.65 | Level: MED
Post Index: 1469 | Diff: 0.94 | Level: HIGH
Post Index: 1470 | Diff: 0.92 | Level: HIGH
Post Index: 1471 | Diff: 1.85 | Level: HIGH
Post Index: 1474 | Diff: 0.58 | Level: MED
Post Index: 1478 | Diff: 0.88 | Level: HIGH
Post Index: 1482 | Diff: 0.77 | Level: HIGH
Post Index: 1483 | Diff: 0.69 | Level: MED
Post Index: 1484 | Diff: 0.87 | Level: HIGH
Post Index: 1485 | Diff: 0.98 | Level: HIGH
Post Index: 1487 | Diff: 0.86 | Level: HIGH
Post Index: 1488 | Diff: 0.92 | Level: HIGH
Post Index: 1495 | Diff: 0.80 | Level: HIGH
Post Index: 1501 | Diff: 0.80 | Level: HIGH
Post Index: 1508 | Diff: 0.68 | Level: MED
Post Index: 1515 | Diff: 0.82 | Level: HIGH
Post Index: 1516 | Diff: 0.98 | Level: HIGH
Post Index: 1518 | Diff: 0.60 | Level: MED
Post Index: 1520 | Diff: 0.92 | Level: HIGH
Post Index: 1521 | Diff: 0.68 | Level: MED
Post Index: 1524 | Diff: 0.33 | Level: LOW
Post Index: 1526 | Diff: 0.83 | Level: HIGH
Post Index: 1529 | Diff: 0.86 | Level: HIGH
Post Index: 1530 | Diff: 0.93 | Level: HIGH
Post Index: 1532 | Diff: 0.88 | Level: HIGH
Post Index: 1535 | Diff: 0.54 | Level: MED
Post Index: 1536 | Diff: 0.93 | Level: HIGH
Post Index: 1538 | Diff: 0.32 | Level: LOW
Post Index: 1540 | Diff: 0.43 | Level: LOW
Post Index: 1541 | Diff: 0.88 | Level: HIGH
Post Index: 1542 | Diff: 0.46 | Level: LOW
Post Index: 1543 | Diff: 0.99 | Level: HIGH
Post Index: 1544 | Diff: 0.87 | Level: HIGH
